SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
53,102.26346635174,+40.57512953787,945450811568422144,175.4463504756,16.8316362828,1.9524,-2.783,-8.534,131,13.987635,1.007612,1.0,NGC_2281,Gaia DR2 945450811568422144,102.26348212728,+40.57516628148
54,101.86630517071,+40.39921001282,945444107122307968,175.5001481728,16.4859021359,1.9380,-2.785,-8.331,141,13.199361,0.867906,1.0,NGC_2281,Gaia DR2 945444107122307968,101.86632091626,+40.39924588240
55,101.70155879644,+40.38803292365,945432910144840064,175.4621205303,16.3653292776,1.8680,-3.053,-7.998,145,10.370989,0.250516,1.0,NGC_2281,Gaia DR2 945432910144840064,101.70157605431,+40.38806735948
56,102.45292877031,+40.44323650751,945398477390732672,175.6298595710,16.9171210220,1.8612,-3.097,-8.408,152,14.547340,1.175122,1.0,NGC_2281,Gaia DR2 945398477390732672,102.45294629127,+40.44327270862
57,102.26627688816,+40.34254196818,945396793763554816,175.6730066284,16.7478798281,1.9908,-3.038,-8.554,136,12.368939,0.702198,1.0,NGC_2281,Gaia DR2 945396793763554816,102.26629404966,+40.34257879790
58,101.99714342671,+40.47252671716,945443080627341824,175.4677733284,16.6056077174,1.8318,-3.158,-8.420,105,14.952320,1.270024,1.0,NGC_2281,Gaia DR2 945443080627341824,101.99716130057,+40.47256296994
59,101.70830901373,+40.25414825053,945418960091083520,175.5935033522,16.3199769948,2.0139,-3.125,-8.512,140,16.588732,1.850449,1.0,NGC_2281,Gaia DR2 945418960091083520,101.70832664361,+40.25418489942
60,102.17636740692,+40.27932573401,945390677730127872,175.7078663556,16.6608053603,1.7880,-2.680,-7.895,163,11.842722,0.622822,1.0,NGC_2281,Gaia DR2 945390677730127872,102.17638253193,+40.27935972637
61,101.82932700993,+39.71961106158,945351889881985408,176.1458713871,16.2053259252,1.8334,-2.774,-8.818,108,11.187852,1.142199,1.0,NGC_2281,Gaia DR2 945351889881985408,101.82934253764,+39.71964902797
62,101.83953428174,+40.85837510054,945471972870105728,175.0475457929,16.6376957365,2.0787,-2.847,-8.243,119,11.975911,0.661471,1.0,NGC_2281,Gaia DR2 945471972870105728,101.83955048887,+40.85841059123
63,102.21597350157,+40.59305196475,945450674129473664,175.4150652799,16.8047043960,1.8941,-3.034,-8.423,114,8.938391,0.231345,1.0,NGC_2281,Gaia DR2 945450674129473664,102.21599070452,+40.59308823044
64,102.12770016721,+40.80444404248,945456824522532992,175.1840101781,16.8203677283,1.8280,-3.177,-8.954,150,14.204519,1.100596,1.0,NGC_2281,Gaia DR2 945456824522532992,102.12771823823,+40.80448259442
