SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
44,261.60104249220,-49.53347220037,5949680004613293440,340.5677312180,-7.9020638415,1.0909,-2.321,-4.910,210,13.164827,0.709193,1.0,IC_4651,Gaia DR2 5949680004613293440,261.60105788994,-49.53345106009
45,261.60439136205,-49.65312357836,5949677633754172800,340.4677572028,-7.9692715175,1.2309,-2.748,-4.735,202,15.546383,1.146125,1.0,IC_4651,Gaia DR2 5949677633754172800,261.60440963733,-49.65310319155
46,261.59831370037,-49.63286603624,5949677805552906496,340.4827166550,-7.9549060938,0.8783,-1.649,-4.995,218,17.694218,1.635561,0.4,IC_4651, ,261.59832466230,-49.63284452999
47,261.58812822500,-49.63175418697,5949677805589974656,340.4800162860,-7.9487738323,0.8806,-1.757,-4.664,227,15.062714,0.928420,0.1,IC_4651, ,261.58813990461,-49.63173410586
48,261.52947597619,-49.54709919480,5949679386138028288,340.5305698904,-7.8706402023,1.0543,-2.267,-5.105,214,14.571882,1.063129,1.0,IC_4651,Gaia DR2 5949679386138028288,261.52949101988,-49.54707721494
49,261.59785060200,-49.63668781582,5949677805589971328,340.4793194170,-7.9567434366,1.1103,-1.981,-4.766,218,11.501089,1.264417,0.8,IC_4651, ,261.59786377198,-49.63666729554
50,261.64208442038,-49.61966777047,5949677973058333824,340.5095185731,-7.9714455266,1.0656,-2.576,-4.891,218,17.051771,1.614344,1.0,IC_4651,Gaia DR2 5949677973058333824,261.64210154002,-49.61964671200
51,261.62195335363,-49.62942705408,5949677766899898240,340.4940720149,-7.9658513535,1.1447,-2.583,-5.082,200,17.396894,1.756081,0.8,IC_4651, ,261.62197052323,-49.62940517325
52,261.46102654903,-49.50466747277,5949682474184182656,340.5418395546,-7.8102257411,1.1077,-2.507,-5.308,214,12.375160,0.726184,1.0,IC_4651,Gaia DR2 5949682474184182656,261.46104317092,-49.50464461888
53,261.43040555434,-49.56406080110,5949682031837915008,340.4807042441,-7.8261671447,1.1175,-2.321,-4.856,218,14.627313,0.931925,1.0,IC_4651,Gaia DR2 5949682031837915008,261.43042096172,-49.56403989332
54,261.54572670425,-49.43215673492,5949681619521094656,340.6335063431,-7.8165603720,1.1025,-2.284,-5.086,181,14.827046,0.981691,1.0,IC_4651,Gaia DR2 5949681619521094656,261.54574182521,-49.43213483686
55,261.56920693443,-49.64729876873,5949678419734918400,340.4601103160,-7.9470113823,1.0148,-2.201,-4.545,220,17.538136,1.804916,0.4,IC_4651, ,261.56922157019,-49.64727919998
56,261.63766552557,-49.42330166364,5949686631712666240,340.6740014135,-7.8617800924,1.2064,-2.690,-5.028,177,17.602621,1.880449,0.7,IC_4651, ,261.63768333119,-49.42328001531
57,261.03319375889,-49.36524428815,5949699654053620992,340.5047563925,-7.5012007597,1.0731,-2.278,-4.902,230,17.050314,1.631573,0.7,IC_4651, ,261.03320881959,-49.36522318232
58,261.18707512926,-49.32965074274,5949698318355256064,340.5905152044,-7.5651430747,1.2402,-2.617,-5.601,199,17.338163,1.193062,0.3,IC_4651, ,261.18709241870,-49.32962662732
59,261.46232080432,-49.35158271885,5949690926680133888,340.6715186122,-7.7270015589,0.9372,-2.021,-5.002,164,15.944769,1.300387,0.5,IC_4651, ,261.46233416219,-49.35156118246
60,261.39962893771,-49.44344022337,5949685021135251712,340.5714244278,-7.7432839521,1.1453,-2.739,-4.504,201,13.418728,0.787315,0.6,IC_4651, ,261.39964707512,-49.44342083115
61,261.20108689925,-49.45974783066,5949695260338448384,340.4860618269,-7.6444462538,0.9740,-2.375,-4.819,210,15.181660,1.022036,0.8,IC_4651, ,261.20110263151,-49.45972708219
62,261.27198068099,-49.28180633362,5949703983380918272,340.6615616861,-7.5849916842,0.9500,-2.972,-4.316,211,14.458474,0.928592,0.1,IC_4651, ,261.27200029672,-49.28178775084
63,261.54066674473,-49.36485631406,5949688113512281728,340.6885318516,-7.7769610505,1.0275,-2.124,-4.809,181,15.530468,1.122420,0.5,IC_4651, ,261.54068078717,-49.36483560864
64,261.48753779077,-49.36397366534,5949690724852421120,340.6701476394,-7.7475310453,1.2045,-1.989,-4.935,158,16.554577,1.412544,0.6,IC_4651, ,261.48755094045,-49.36395241742
65,261.47116157298,-49.36923873242,5949690827931639424,340.6598038558,-7.7414977365,1.1188,-2.533,-5.067,174,16.072320,1.253107,0.8,IC_4651, ,261.47117832094,-49.36921691617
